Title,Description,Keywords,AssignmentId,WorkerId,SubmitTime,WorkTimeInSeconds,argumentId1,argumentId2,Answer.equal.label
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",308XBLVESI42OLH6KJR75Z1LU0LRB2,A2Q1YS118AO2BP,Fri Dec 01 03:54:52 PST 2023,424,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",30OG32W0SUBFGQ1Y13CGXN2WW0ANEB,A1F1BIPJR11LSR,Fri Dec 01 03:57:32 PST 2023,234,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",384PI804XS1D5DE91SUNBSAYPYK0SQ,A2HM35CWB7IIFM,Fri Dec 01 06:35:00 PST 2023,23,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3EICBYG644W402QZQEETESLC24UJCC,A3HAPMZV7CYDY8,Fri Dec 01 04:28:35 PST 2023,490,77,78,Argument 2
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3FTOP5WARFOK6AVJEYL9JRJBTFBJ0X,A3OZ8KF0HWSVWK,Fri Dec 01 08:59:46 PST 2023,320,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3LEP4MGT3G08NBY12IWN0AKHFZ8DBW,A3GK90X2QOFR53,Fri Dec 01 07:28:09 PST 2023,1017,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3OS4RQUCR9F5LVCXTORDOAN2RCJBF0,AA9V4NE8SOA4I,Fri Dec 01 05:55:55 PST 2023,306,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3QAVNHZ3EM4M2DH19LUFOC8G6QGLAG,A1GKEEI844CEKI,Fri Dec 01 05:31:24 PST 2023,54,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3S3AMIZX3U5RXGQ7GISIBUQZXKBDC6,A32CMQGGTSUK6Z,Fri Dec 01 09:10:57 PST 2023,115,77,78,Argument 1
Select the most convincing argument,Read two texts and select which one provided the most convincing argument,"text, classification",3XCC1ODXDLBPSRJV31OX0OWKG0YRQQ,A1IZ4NX41GKU4X,Fri Dec 01 06:22:45 PST 2023,78,77,78,Argument 1
