dim1,dim2,url1,url2
trust,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image113.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image52.svg
control10,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-10-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
trust,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image35.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image34.svg
support,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image71.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image72.svg
trust,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image55.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image54.svg
knowledge,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image76.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image69.svg
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg
knowledge,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image59.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image103.svg
control10,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-10-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg
support,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image20.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
conflict,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image69.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image70.svg
status,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image49.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image34.svg
fun,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image131.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image132.svg
baseline,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image136.svg
baseline,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image59.svg
trust,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image134.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image63.svg
fun,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image20.svg
fun,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image32.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image49.svg
baseline,control15,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-15-txt.svg
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image139.svg
status,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image139.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image151.svg
support,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image67.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
support,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image112.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image24.svg
baseline,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image73.svg
support,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image58.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg
control3,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-3-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
knowledge,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image77.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image78.svg
similarity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image85.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image43.svg
baseline,control11,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-11-txt.svg
