dim1,dim2,url1,url2,swapped
trust,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image113.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,True
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image52.svg,True
control10,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-10-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,True
trust,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image35.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image34.svg,True
support,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image71.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image72.svg,False
trust,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image55.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image54.svg,True
knowledge,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image76.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image69.svg,True
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,True
knowledge,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image59.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,False
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image103.svg,True
control10,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-10-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,True
support,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image20.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,False
conflict,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,False
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image69.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image70.svg,False
status,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image49.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image34.svg,True
fun,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image131.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image132.svg,False
baseline,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image136.svg,False
baseline,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image59.svg,False
trust,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image134.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image63.svg,True
fun,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image20.svg,True
fun,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image32.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image49.svg,False
baseline,control15,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-15-txt.svg,False
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image139.svg,False
status,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image139.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image151.svg,False
support,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image67.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,False
support,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,False
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image112.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image24.svg,True
baseline,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image73.svg,False
support,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image58.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,True
control3,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-3-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,True
knowledge,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image77.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image78.svg,False
similarity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image85.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image43.svg,False
baseline,control11,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-11-txt.svg,False
status,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image96.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image102.svg,True
control6,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-6-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,True
conflict,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image84.svg,False
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image98.svg,True
similarity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image78.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image109.svg,False
baseline,control15,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-15-txt.svg,False
